"","opponent","event_day_of_week","days_before_event","section_name","channel","price_level","primary_tickets_sold","primary_average_ticket_price","churn"
"40099",18,"Tuesday",0,20,"Back Office","G - 100L",3,"$62.10",0
"40100",7,"Monday",0,21,"Back Office","I - 100L",17,"$87.23",1
"40101",13,"Tuesday",8,25,"Back Office","D - 100L",13,"$101.85",1
"40102",24,"Saturday",0,18,"Back Office","D - 100L",1,"$150.15",1
"40103",9,"Thursday",0,78,"Box Office","R - 300L",1,"$24.94",0
"40104",14,"Saturday",0,44,"Web","K - 200L",3,"$108.32",0
"40105",10,"Thursday",0,25,"Web","D - 100L",2,"$140.00",0
"40106",31,"Saturday",0,29,"Web","F -100L",3,"$183.48",0
"40107",29,"Monday",0,61,"Web","R - 300L",2,"$28.37",0
"40108",31,"Saturday",9,27,"Web","D - 100L",2,"$168.95",0
"40109",4,"Wednesday",6,56,"Back Office","Q - 300L",1,"$24.61",0
"40110",15,"Saturday",5,20,"Back Office","G - 100L",5,"$87.32",1
"40111",25,"Thursday",0,57,"Web","R - 300L",2,"$48.02",0
"40112",7,"Thursday",121,28,"Web","D - 100L",1,"$87.08",0
"40113",27,"Monday",2,44,"Back Office","L2 - 200L",5,"$46.50",1
"40114",4,"Thursday",6,56,"Web","R - 300L",2,"$28.61",1
"40115",22,"Thursday",1,71,"Web","R - 300L",2,"$15.00",0
"40116",11,"Tuesday",0,49,"Back Office","P - 300L",22,"$29.76",1
"40117",30,"Sunday",0,24,"Web","D - 100L",2,"$102.83",0
"40118",4,"Thursday",102,21,"Web","I - 100L",2,"$88.35",0
"40119",21,"Saturday",0,72,"Web","R - 300L",4,"$49.40",0
"40120",4,"Thursday",2,25,"Web","D - 100L",5,"$132.55",0
"40121",9,"Thursday",2,62,"Web","O - 300L",3,"$26.29",0
"40122",18,"Saturday",96,23,"Web","G - 100L",2,"$113.98",1
"40123",27,"Monday",25,29,"Web","F -100L",4,"$110.55",1
"40124",31,"Monday",0,80,"Back Office","O - 300L",4,"$14.73",0
"40125",1,"Saturday",29,21,"Back Office","I - 100L",2,"$131.51",1
"40126",4,"Thursday",13,36,"Web","M - 200L",2,"$57.12",0
"40127",15,"Friday",0,40,"Web","L1 - 200L",3,"$47.52",0
"40128",4,"Wednesday",0,45,"Back Office","K - 200L",3,"$50.99",0
"40129",30,"Tuesday",0,43,"Web","L2 - 200L",2,"$30.38",0
"40130",13,"Tuesday",6,48,"Back Office","P - 300L",2,"$22.37",1
"40131",26,"Saturday",2,29,"Web","F -100L",4,"$72.80",0
"40132",24,"Thursday",9,41,"Back Office","K - 200L",6,"$81.23",1
"40133",7,"Monday",0,47,"Box Office","P - 300L",5,"$46.28",1
"40134",25,"Thursday",190,17,"Web","D - 100L",3,"$179.22",0
"40135",15,"Thursday",0,44,"Back Office","K - 200L",2,"$21.91",1
"40136",1,"Thursday",3,16,"Web","C - 100L",2,"$150.86",1
"40137",5,"Thursday",60,26,"Web","C - 100L",4,"$165.12",0
"40138",7,"Monday",14,53,"Back Office","R - 300L",2,"$18.76",1
"40139",2,"Wednesday",1,49,"Back Office","O - 300L",4,"$25.15",1
"40140",25,"Saturday",77,47,"Web","P - 300L",2,"$65.88",0
"40141",24,"Monday",0,48,"Box Office","O - 300L",2,"$48.51",0
"40142",3,"Saturday",29,51,"Web","R - 300L",2,"$86.13",0
"40143",2,"Wednesday",0,44,"Back Office","L2 - 200L",12,"$54.14",1
"40144",29,"Monday",0,20,"Web","G - 100L",1,"$99.50",0
"40145",27,"Monday",2,16,"Web","C - 100L",2,"$126.83",0
"40146",5,"Thursday",0,21,"Box Office","I - 100L",3,"$133.65",0
"40147",4,"Saturday",10,22,"Call Center","G - 100L",4,"$145.23",0
"40148",3,"Saturday",5,66,"Back Office","O - 300L",8,"$50.90",1
"40149",5,"Wednesday",1,25,"Web","D - 100L",2,"$187.94",0
"40150",9,"Thursday",210,18,"Web","D - 100L",2,"$136.80",0
"40151",13,"Tuesday",132,26,"Web","C - 100L",1,"$204.58",0
"40152",31,"Saturday",0,23,"Back Office","G - 100L",17,"$80.20",1
"40153",16,"Saturday",1,68,"Back Office","R - 300L",4,"$27.27",0
"40154",31,"Saturday",96,25,"Back Office","D - 100L",2,"$186.22",1
"40155",6,"Thursday",0,52,"Box Office","R - 300L",1,"$27.20",1
"40156",10,"Thursday",4,64,"Web","P - 300L",2,"$34.57",0
"40157",9,"Friday",47,49,"Web","O - 300L",4,"$84.60",0
"40158",2,"Wednesday",7,17,"Back Office","D - 100L",4,"$138.11",1
"40159",2,"Wednesday",0,67,"Web","R - 300L",1,"$31.45",1
"40160",9,"Friday",50,38,"Web","M - 200L",8,"$143.55",0
"40161",4,"Thursday",0,25,"Web","D - 100L",3,"$92.86",0
"40162",31,"Tuesday",3,79,"Web","O - 300L",2,"$48.51",0
"40163",16,"Saturday",10,46,"Back Office","K - 200L",2,"$68.09",0
"40164",6,"Wednesday",1,76,"Back Office","R - 300L",5,"$17.02",0
"40165",10,"Wednesday",2,30,"Back Office","F -100L",2,"$70.79",0
"40166",20,"Tuesday",3,64,"Web","O - 300L",4,"$58.11",0
"40167",3,"Sunday",5,52,"Web","R - 300L",2,"$50.83",0
"40168",25,"Thursday",68,43,"Web","L2 - 200L",2,"$94.38",0
"40169",24,"Monday",0,23,"Back Office","D - 100L",7,"$80.34",0
"40170",18,"Saturday",1,62,"Web","O - 300L",3,"$69.02",0
"40171",29,"Monday",88,34,"Web","D - 100L",2,"$107.31",0
"40172",4,"Thursday",2,58,"Web","Q - 300L",2,"$28.83",0
"40173",3,"Thursday",84,47,"Web","P - 300L",4,"$54.90",1
"40174",30,"Tuesday",96,48,"Web","O - 300L",2,"$33.67",0
"40175",3,"Thursday",21,33,"Web","D - 100L",1,"$201.70",0
"40176",25,"Thursday",0,39,"Web","L1 - 200L",2,"$92.57",0
"40177",22,"Wednesday",16,16,"Back Office","C - 100L",4,"$134.89",0
